,Mineral Name,Mineral Group,OLINDEX3,BD1300,LCPINDEX2,HCPINDEX2,BD1400,BD1435,BD1500_2,BD1750_2,BD1900_2,BD1900R2,BD2100_2,BD2165,BD2190,MIN2200,BD2210_2,D2200,BD2230,BD2250,MIN2250,BD2265,BD2290,D2300,BD2355,SINDEX2,MIN2295_2480,MIN2345_2537,BD2500_2,CINDEX2,R3920
Hematite,Hematite,Iron oxides and primary silicates,0.23839268930713384,0.0,0.0,0.0,0.0,0.004030641692236104,0.0,0.013646826113678208,0.050746523758370535,0.08925000049883126,0.0,0.0,0.0319597983402786,0.0,0.1953569407313927,0.21797896348273493,0.0,0.07862726984506309,0.10174394227137508,0.0,0.0,0.0,0.0,0.12473808731683973,0.0,0.0,0.0,0.39980210161635377,0.3916694287923987
Mg_Olivine,Mg-Olivine,Iron oxides and primary silicates,1.0,0.5914310991139622,0.0,0.0,0.5011272644507881,0.03120397641004769,0.0,0.0,0.0,0.0,0.0,0.0,0.11333317662954716,0.004404711909020198,0.13670221347753683,0.30305207100555015,0.0323350047356836,0.09865567606910876,0.12106687727213072,0.0,0.0,0.05494277895116883,0.040896990198296956,0.017230524759867628,0.0,0.0,0.0,0.4382358704894699,0.10420579678120281
Fe_Olivine,Fe-Olivine,Iron oxides and primary silicates,0.8258903817890398,1.0,0.0,0.0,0.6029785687596554,0.030000033157088952,0.41975516456169415,0.0,0.0,0.0,0.0,0.0,0.0011704007177283106,0.0,0.0,0.08987476760993378,0.0,0.0,0.0,0.0353770324194273,0.0390744113691659,0.15680291173752992,0.0499283607744103,0.0,0.0,0.0,0.0,0.0,0.4275034066217361
Plagioclase,Plagioclase,Iron oxides and primary silicates,0.19511346425511922,0.186803254647472,0.0,0.10206724862899952,0.11679270265681053,0.012154497150073069,0.0,0.0,0.0,0.0,0.025315565358480948,0.016149870403916924,0.0,0.028935755141176245,0.0,0.002536133807973153,0.0,0.09480604325520586,0.02803576072580871,0.05594260856464755,0.0,0.06285515982484041,0.04466241702565967,0.0,0.0,0.0,0.0,0.22127025054415694,0.11501491547895264
Low_Ca_Pyroxene,Low-Ca Pyroxene,Iron oxides and primary silicates,0.0,0.0,1.0,1.0,0.0,0.04183078200727476,0.007775876347926747,0.07065831347746399,0.0056311351815932316,0.03141860531128509,0.1703234070687471,0.06077786929913977,0.022628886724559764,0.05431992639137498,0.0,0.0,0.01773009755105927,0.02905555586395214,0.0,0.062112435708493334,0.17297144079461,0.0,0.03305743516666971,0.0,0.0,0.0,0.0,0.2428356321879779,0.0
High_Ca_Pyroxene,High-Ca Pyroxene,Iron oxides and primary silicates,0.23675122971827198,0.0,0.0,0.32198471721129274,0.0,0.015023395886238206,0.0,0.0,0.0,0.0,0.03579125241778525,0.030749446600622222,0.0440316070980412,0.10113304342952462,0.06943009442241534,0.08917409035306344,0.020497142400840197,0.17963235741953296,0.13336654153387223,0.06289351458125436,0.0,0.023076014328193548,0.07472847873635714,0.0,0.0,0.0,0.0,0.09515632731526913,0.34911427834861714
H2O_Ice,H2O Ice,Ices,0.009788991823259386,0.06210231006655431,0.0,0.0,0.0,0.0,1.0,0.0,0.19437090358429787,0.24642351841276516,0.17826130076675178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15140318522688698,0.5424979290762213,0.0,0.0,0.0,0.5976774055945993,0.0752955474533201
CO2_Ice,CO2 Ice,Ices,0.6091546567649531,0.040471950553599846,0.0,0.0,0.0,1.0,0.6502307711960662,0.0,1.0,1.0,0.6551549508342154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49666798318968053,0.5126488743850033,0.0,0.0,0.5951985464677513,0.0,0.0,0.0,1.0,0.08376606636467426
Monohydrated_sulfate,Monohydrated sulfate,Sulfates,0.0,0.0,0.0,0.0,0.0,0.004640350893367161,0.17779051879199914,0.148260596038244,0.0,0.02013625264096883,1.0,0.06256437504085506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17635471097642919,0.6358669707818311,0.0,0.0,0.0,0.65426283205648,0.10711523588553751
Alunite,Alunite,Sulfates,0.0,0.0,0.0,0.0,0.0,0.0,0.06795529786330605,0.8376409737840715,0.0788772675669565,0.0,0.6145346014185195,1.0,1.0,0.9762134864650217,0.467693836563471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5693735478682233,0.0,0.0,0.3946026572191119,0.5255421382079151,0.09974956726696871
Hydroxylated_Fe_sulfate,Hydroxylated Fe-sulfate,Sulfates,0.11319249773389084,0.0,0.0,0.0,0.0,0.0,0.057472467854117505,0.0,0.04542716126648713,0.038780560971616765,0.0026191487293041444,0.0,0.1218655199178814,0.22071961447076344,0.4039109203276696,0.4224797538682711,1.0,1.0,0.0,0.0,0.0,0.0,0.3321849949902228,0.2738989635832565,0.0,0.0,0.0,0.23846191578890769,0.19712370640444887
Jarosite,Jarosite,Sulfates,0.30891181893434433,0.0,0.0,0.0,0.07139452811159135,0.00033442046045833215,0.0,0.0,0.0121667997446259,0.009367513817269982,0.0,0.0,0.006547940312081596,0.13575970592078662,0.38403838903355875,0.4355946279654907,0.0,0.9043981368188079,1.0,1.0,0.014368904224903258,0.0,0.0,0.0201467306824087,0.03748975102644932,0.0,0.006496261491800897,0.19633713165611058,0.3480094280558318
Polyhydrated_sulfate,Polyhydrated sulfate,Sulfates,0.12270125328225898,0.0,0.0,0.0,0.0,0.018108869368772693,0.0,0.0,0.1343430794866274,0.14962897044296308,0.0,0.0,0.008563482483884133,0.0,0.16392255085002377,0.0,0.0004485519097739918,0.08581901198698413,0.0870701684292934,0.07179019313042902,0.0,0.0,0.0,0.25721225597710073,0.0,0.0,0.03334449774870024,0.38279642327665275,0.25124295657938356
Gypsum,Gypsum,Sulfates,0.06023079008419675,0.0,0.0,0.0,0.0,0.1554023745102807,0.21550898565601095,1.0,0.9246391565864609,0.7999031202859974,0.0,0.2400014797986334,0.32964879210939013,0.6036193989351993,1.0,0.0,0.0,0.987002702058448,0.6595340712469576,0.11083544083247292,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.45940488418089226,0.012595293337752759
