,Mineral Name,Mineral Group,OLINDEX3,BD1300,LCPINDEX2,HCPINDEX2,BD1400,BD1435,BD1500_2,BD1750_2,BD1900_2,BD1900R2,BD2100_2,BD2165,BD2190,MIN2200,BD2210_2,D2200,BD2230,BD2250,MIN2250,BD2265,BD2290,D2300,BD2355,SINDEX2,MIN2295_2480,MIN2345_2537,BD2500_2,CINDEX2,R3920
Bassanite,Bassanite,Sulfates,0.19722279836070147,0.0174894911680235,0.0,0.0,0.007170487021017067,0.05461130733574986,0.0,0.0,0.15677444899228565,0.18461922854326673,0.0,0.0,0.0,0.0,0.00018348525725927478,0.0,0.010758281625563589,0.0,0.0,0.0,0.0,0.0,0.0,0.23083656300341968,0.0,0.0,0.18093407646691392,0.2763153448475691,0.15307700806540717
Kaolinite,Kaolinite,Phyllosilicates,0.25861544495240957,0.0,0.0,0.0,1.0,0.05517325542634988,0.0,0.0,0.12204768607018478,0.1292827668669743,0.0,0.7486112210900564,0.7883730245203152,1.0,0.7693304531298961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13245318365139266,0.10097019050492012,0.0,0.0,0.0,0.45883097132878514,0.1497624571870512
Al_Smectite,Al-Smectite,Phyllosilicates,0.28284530276578773,0.011578297223680945,0.0,0.0,0.4607095218029615,0.05678075825645617,0.0,0.0,0.18818839561326878,0.207960678900455,0.0,0.23570724748116303,0.4669126704223064,0.33329907834340944,0.7273156501432013,0.0713243960754821,0.0,0.009036492827231263,0.0,0.0,0.0,0.0,0.06815178220785667,0.3647477536805547,0.0,0.0,0.0,0.11772948621390196,0.26661878982064596
Margarite,Margarite,Phyllosilicates,0.15574965876640628,0.0,0.0,0.0,0.14195180292178736,0.03628425926622329,0.0,0.0,0.012756006728555503,0.01637328741800467,0.0,0.0,0.0839738665140189,0.0,0.22744490184451618,0.20797402778876056,0.0,0.0,0.0,0.0,0.0,0.023813623003640417,0.13862965472755726,0.06340096346621651,0.0,0.0,0.0,0.20172464336095564,0.8231502964681618
Illite_Muscovite,Illite/Muscovite,Phyllosilicates,0.22348169043874208,0.025076485620904324,0.0,0.0,0.25735625588969147,0.035199235289554,0.0,0.0,0.04201331208818627,0.01691102645849165,0.0,0.0,0.17592790846869583,0.0,0.5121801773902569,0.7791071504900741,0.0,0.0,0.0,0.0,0.0,0.40422569645660866,0.4820182058002488,0.027530122161232205,0.0,0.0,0.0,0.12429051840622334,0.25724597650351716
Fe_Smectite,Fe-Smectite,Phyllosilicates,0.10784685549130582,0.0,0.0,0.0,0.0,0.05013255025512352,0.05494259094554363,0.0,0.10413031025747008,0.11999613350440952,0.0,0.0,0.0,0.0,0.0,0.15402018605910842,0.0256651447849162,0.0,0.0,0.26246187288131817,0.3920156915106615,0.34598759854042543,0.0,0.0,0.0,0.0,0.0,0.41942376651838453,0.2224616064523257
Mg_Smectite,Mg-Smectite,Phyllosilicates,0.18934734176842274,0.0,0.0,0.0,0.13213905191955952,0.04124284041958235,0.0,0.0,0.0867411185808952,0.08202577484179664,0.0,0.0,0.0,0.0,0.0,0.23131211670645402,0.0,0.0,0.0013540293255015364,0.1970835571200884,0.24539393709637125,0.3673971761735542,0.0,0.0,0.0,0.0,0.0,0.2106252613576982,0.24161234486060476
Talc,Talc,Phyllosilicates,0.28451498470593106,0.0,0.0,0.0,0.15315735615216414,0.039681845747659775,0.0,0.0,0.09354813182063433,0.10774642926863254,0.0,0.0,0.0,0.0,0.0,0.2157758681281962,0.018935642307507727,0.0,0.0,0.2847110303031915,0.47607337835623603,0.5568755234000053,0.0,0.0,0.0,0.0,0.0,0.21516734911314317,0.2041026774205429
Serpentine,Serpentine,Phyllosilicates,0.19243856778820062,0.0,0.0,0.0,0.4059810360017972,0.027346921791260297,0.0,0.0,0.034132018575831355,0.028766846549283857,0.0,0.0,0.0,0.0,0.0,0.03895128516717718,0.0,0.0,0.0,0.27557024136504277,0.10376022269299631,0.27918581604237164,0.0,0.0,0.0,0.0,0.0,0.07374220818529376,1.0
Chlorite,Chlorite,Phyllosilicates,0.19180980956059004,0.0,0.0,0.0,0.0,0.012664525416612504,0.0,0.0,0.05190302733306823,0.03609010030697127,0.0,0.0,0.0,0.0,0.0402848186020783,0.4592866912122963,0.0,0.03729100385280517,0.05696562593596443,0.1792143086360796,0.0,0.39683588283870885,0.19070530886753048,0.0,0.0,0.0,0.0,0.377355443964589,0.30416528560380074
Mg_Carbonate,Mg-Carbonate,Carbonates,0.8543760929725056,0.6921662355498107,0.0,0.0,0.554584012420089,0.05517303911365893,0.0,0.0,0.1598822862350841,0.1595731274358422,0.0,0.0,0.0,0.0,0.0,0.6799930072394074,0.0,0.0,0.24340663761143655,0.6591343579544637,1.0,1.0,0.0,0.0,1.0,1.0,0.17328099851123932,0.004962362843849413,0.27380031672375066
Ca_Fe_Carbonate,Ca/Fe-Carbonate,Carbonates,0.1465237628595053,0.0,0.0,0.0,0.0,0.01122732383215169,0.0,0.0,0.05146059210017584,0.049644447706051746,0.0,0.0,0.0,0.0,0.0,0.279195466815209,0.0,0.0,0.0,0.1115748320265765,0.0,0.3614736885614407,0.14293240960241285,0.0,0.0,0.2554697855979432,0.0,0.5084019423723481,0.2735425183221007
Prehnite,Prehnite,Other hydrated silicates and halides,0.22525020375965416,0.0,0.0,0.0,0.06628435691889452,0.0,0.0,0.0,0.01771975674662751,0.008381061627988786,0.0,0.0,0.0,0.0,0.22994836869780996,1.0,0.2727453358617102,0.0,0.0,0.0,0.0,0.7167346776395674,0.8095517392066292,0.0,0.0,0.0,0.0,0.11432497207655425,0.22095164438551912
Hydrated_Silica,Hydrated Silica,Other hydrated silicates and halides,0.15920320291219228,0.0,0.0,0.0,0.0,0.03745618617502152,0.0,0.0,0.10656668622295506,0.0998543865997242,0.0,0.0,0.10787389272336484,0.154360223820986,0.5487077487667987,0.7506664798924002,0.025292285451762358,0.7477813182010883,0.9784322586399005,0.22415490977840846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11291606588728757,0.28945236253820944
Epidote,Epidote,Other hydrated silicates and halides,0.29322844258726954,0.1144574445055648,0.0,0.0,0.2124323229584368,0.014077940208372991,0.0,0.0,0.0668772657764586,0.07019883855471322,0.0,0.05065626034184902,0.04710089022052768,0.0,0.13166446235409568,0.634257815344654,0.0,0.0,0.0,0.0,0.0,0.8968183570804787,1.0,0.0,0.0,0.0,0.0,0.18887806412935718,0.24927264022391638
Analcime,Analcime,Other hydrated silicates and halides,0.19751976647456054,0.0,0.0,0.0,0.0,0.053110496748751804,0.0,0.0,0.1326658060821165,0.16079736691366994,0.0,0.0,0.0,0.0,0.005397103660578334,0.024779636390044213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05956093680518759,0.0,0.0,0.14764521482748258,0.18624164187629447,0.22829889883254154
Chloride,Chloride,Other hydrated silicates and halides,0.058177296963663166,0.0,0.019957398288506508,0.20411383342984227,0.0,0.0,0.0,0.12460929964825955,0.0,0.0,0.02247674085069316,0.022617155217810426,0.0,0.03567422314893377,0.0,0.04331556031566742,0.0,0.0,0.0,0.08350596245025059,0.0,0.14062395058582777,0.09891383235922996,0.0,0.0,0.7306678894680565,0.0,0.37430569888968507,0.08175892166611429
