,Mineral Name,Mineral Group,OLINDEX3,BD1300,LCPINDEX2,HCPINDEX2,BD1400,BD1435,BD1500_2,BD1750_2,BD1900_2,BD1900R2,BD2100_2,BD2165,BD2190,MIN2200,BD2210_2,D2200,BD2230,BD2250,MIN2250,BD2265,BD2290,D2300,BD2355,SINDEX2,MIN2295_2480,MIN2345_2537,BD2500_2,CINDEX2,R3920
Hematite,Hematite,Iron oxides and primary silicates,0.09510324557927433,-0.0848062840576469,-0.04159631713005709,-0.018961528006517656,-0.008236638610744418,0.0009550258233953501,-0.011096526715658195,0.0004049951851649025,0.013140739114983202,0.029281538484520087,-0.014848468703619888,-0.00302358281219961,0.002293593817607742,-0.001691823513555013,0.007325208973357866,0.006834281126833153,-1.6679732457003382e-05,0.0026499755447629836,0.002175567665455347,-0.0010626958870763037,-0.0038529198783123775,-0.0020359364084185927,-0.0003548181308441478,0.012032689664447815,-0.0027955686733251994,-0.005283214039687234,-0.0024468496475709145,0.13680941006823077,0.36597
Mg_Olivine,Mg-Olivine,Iron oxides and primary silicates,0.39893524359191995,0.12285961027990577,-0.10107703853695282,-0.02507898457911503,0.02288687484974372,0.0073935133757032645,-0.07545431837546612,-0.01879406187853383,-0.012912495780191602,-0.019695326679125102,-0.0022425941919037573,-0.0019345256337330863,0.008133351483628593,0.00021373738937935371,0.005125859757500906,0.009501573070306746,0.0015872369866914982,0.0033249930901881886,0.002588745606577514,-0.00011679219268634355,-0.004427404767261223,0.0037185973149264084,0.0025506429126809227,0.001662119098110315,-0.02496693311188003,-0.03637211585206135,-0.02496693311188003,0.14996116996386877,0.20986
Fe_Olivine,Fe-Olivine,Iron oxides and primary silicates,0.32947678063923436,0.20773275274831648,-0.20280520658962486,-0.02915975176081248,0.02753850372799871,0.007108249394364274,0.05213586053064578,-0.020269320739973118,-0.002718585471788937,-0.010054337241535372,-0.0017066727011887384,-0.0003003109984605068,8.399376684808946e-05,-0.00032557725246440405,-0.0011779919289864882,0.0028178380988757024,-0.00014009133955350528,-0.0013092072859817172,-0.00029443911626314545,0.0008944251323064201,0.001714628563508569,0.010612620942927697,0.003113906889811391,-0.004793885642865092,-0.017963576826956373,-0.01061523887050364,-0.017963576826956373,-0.06325939763282173,0.38543
Plagioclase,Plagioclase,Iron oxides and primary silicates,0.07783763739067935,0.0388051543102641,-0.02777795392070452,0.004639075681889454,0.0053340142488540465,0.0028799033838865506,-0.01691716944504784,-0.002175054293180878,-0.00634980528774387,-0.005909044526829943,0.0021862594683769165,0.0010020707848173993,-0.0011927572948873255,0.0014040992671802144,-0.00010014309038774982,7.951524836169455e-05,-0.001989435411950513,0.003195248882698065,0.0005994823195353272,0.001414377398131439,-0.0025215411823715783,0.004254117338361341,0.0027854831589646523,-0.000523186422610955,-0.006351393994228793,-0.0039865213579770575,-0.006351393994228793,0.07571709183170905,0.21573
Low_Ca_Pyroxene,Low-Ca Pyroxene,Iron oxides and primary silicates,-0.013380870313845727,-0.09195064810546416,0.05898424839431707,0.04545116816807573,-0.0038189279352041083,0.009911443407812803,0.0009658058768672317,0.002096918104757206,0.0014581743312085393,0.010307956251097039,0.014709178172294557,0.003771158880219061,0.0016239612696612449,0.002635858938786706,-0.004132201496050536,-0.007439692658977259,0.0008703220191470518,0.0009792596465665326,-0.0012905036652730573,0.0015703669789989272,0.007590178909047007,-0.004018407442348382,0.0020617094879218367,-0.013339027790810754,-0.01773728345844261,-0.01669172162017296,-0.01773728345844261,0.08309661067030316,0.15327
High_Ca_Pyroxene,High-Ca Pyroxene,Iron oxides and primary silicates,0.09444840949834543,-0.010324838470388453,-0.011934498693105455,0.014634581529520773,-0.001173256301355563,0.0035596642227181396,-0.02005615366435154,-0.0013286025482706076,-0.0003179568413635425,-0.004249449584731835,0.003090942800423657,0.0019079485665911555,0.0031599267537343323,0.004907452094278675,0.0026033881815514803,0.002795869807641904,0.0010061486864170188,0.0060541508709115455,0.0028517465407503773,0.001590114722840985,-0.002124108675956693,0.0015618140647070122,0.004660628171905268,-0.005437660059036897,-0.004578267153589,-0.0003533882188027082,-0.004578267153589,0.03256181233572819,0.34286
H2O_Ice,H2O Ice,Ices,0.0039051738375312957,0.012900683822154813,-0.055933412643946336,-0.04759933680542895,-0.05740441297430676,-0.0082063659677174,0.12420540575143546,-0.012639746731335721,0.05033206506334348,0.08084772770380788,0.015394696943472952,-0.00020775136578765618,-0.004419408466558528,-0.04490144777448135,-0.016178964041629884,-0.03723140712670592,-0.0029136500088291495,-0.048521883526817744,-0.03855292740708349,-0.019116275734089028,-0.006606321773101831,-0.032428162391032966,0.009442637697391176,0.0523313236926517,-0.03061058846747966,-0.04794514258249816,-0.021850569479175297,0.2045209190745363,0.19416
CO2_Ice,CO2 Ice,Ices,0.24301326138167892,0.008407349697593047,-0.0936831526413846,-0.13623485750089706,-0.019147113677629557,0.2369413846025903,0.08076217676847619,-0.016161068121860467,0.2589485572953293,0.3280844629788381,0.05657936902584204,-0.03944535094779411,-0.058380997494958065,-0.16222694243855362,-0.07181635697419875,-0.08761558082763332,-0.005673391069854317,-0.12961533443590945,-0.07866100479527649,0.012557082835835676,0.02249560191109301,-0.08426214019178091,-0.004341986158661104,0.05741501695617246,-0.2674710269948195,-0.3667218990820236,-0.2674710269948195,0.3421928236873346,0.19876
Monohydrated_sulfate,Monohydrated sulfate,Sulfates,-0.07395269907131993,-0.029740125665858486,-0.03248480561079296,-0.007210201720639185,-0.015797917672731865,0.001099491165716282,0.022082543525318465,0.004399911528511713,-0.013753784292943605,0.006606391634118469,0.08636028614879421,0.003882008389590186,-0.017423923779021466,-0.05085619959612031,-0.028249580932358187,-0.05548966507716835,-0.0011495411918927,-0.043570887664753144,-0.03784238772011106,-0.008582299909509317,-0.003064893574270089,-0.054642315373515826,0.010998801904220645,0.0613380411057286,-0.03012105249571584,-0.001363319117352546,-0.0034655547668152042,0.22388404593507927,0.21144
Alunite,Alunite,Sulfates,-0.12827897147751283,-0.024145465123695642,-0.04923917135603692,-0.022092651182460163,-0.013553630374947723,-0.00783740701381519,0.008440415344071583,0.024858568465188302,0.020425154639861054,-0.0023649235830911497,0.05307138402683853,0.06204822452162595,0.07176496526003262,0.04737048106294073,0.017536899766921743,-0.05803716077487575,-0.014244636142445977,-0.0056191222327555135,-0.05062364636254513,-0.048187951040973065,-0.018074255806046713,-0.096924254222295,-0.0192082461492038,0.05492384364722458,-0.04916682728471966,-0.03470498500200203,0.04478912666066415,0.17983674824004592,0.20744
